accession,name,Study Disease/Focus,Release Date,Ancestry (computed),Related Terms,description,principal_investigator,cited_publications,funding_source,study_type,external_study_url,gene_keywords,disease_keywords,participant_count,sample_count,limitations_for_reuse,assay_method,dbGaP_URL,gpa,doc,dataset_uuid,dataset_source_repo
phs003837,Addiction of Primary Cutaneous Gamma-Delta T-cell Lymphomas to JAK-STAT    Signaling,"Lymphoma, T-Cell, Cutaneous",2025-03-10,,"Lymphoma, T-Cell, Peripheral; Granulomatous Slack Skin; Slack Skin, Granulomatous","<p>Primary cutaneous &#947;&#948; T-cell lymphoma (PCGDTL) is a mature T-cell lymphoma (TCL) of the skin with a median survival of 31 months and no effective therapies. PCGDTLs frequently possess mutations in the JAK/STAT pathway, including in <a href=""https://www.ncbi.nlm.nih.gov/gene/3716"" target=""_blank"">JAK1</a>, <a href=""https://www.ncbi.nlm.nih.gov/gene/3718"" target=""_blank"">JAK3</a>, <a href=""https://www.ncbi.nlm.nih.gov/gene/6774"" target=""_blank"">STAT3</a>, <a href=""https://www.ncbi.nlm.nih.gov/gene/6777"" target=""_blank"">STAT5B</a>, and <a href=""https://www.ncbi.nlm.nih.gov/gene/8651"" target=""_blank"">SOCS1</a>. We hypothesized that single-agent JAK inhibition may be effective in PCGDTLs, particularly those with targetable JAK/STAT pathway mutations. Herein, we demonstrate the near-complete response of two PCGDTL cases to single-agent JAK inhibitors, ruxolitinib or cerdulatinib. However, both patients eventually relapsed with acquired mutations in JAK1, JAK3, or STAT5B.</p>",Jaehyuk Choi,,,RNA Sequencing;Tumor;Whole Genome Sequencing,,STAT5B;SOCS1;JAK1;JAK3,"Lymphoma, T-Cell, Peripheral;Receptors, Antigen, T-Cell, gamma-delta",2.0,8.0,HMB-IRB-PUB-GSO,RNA-Seq;WGS,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003837,nan,nan,c02cb648-7a00-43f4-8138-62c28a6895e9,dbGaP
phs002614,Multi-Omic Investigation of Beckwith-Wiedemann Syndrome Hepatoblastoma,Beckwith-Wiedemann Syndrome,2025-03-10,,Hepatoblastoma; BWS; Beckwith Wiedemann Syndrome; Beckwith's syndrome; Beckwith-Wiedemann syndrome chromosome region; EMG SYNDROME,"<p>Hepatoblastoma (HB) is the most common malignant liver tumor diagnosed in children under 5 years of age. One of the most common HB predisposition syndromes is Beckwith-Wiedemann Syndrome (BWS, OMIM <a href=""https://omim.org/entry/130650"" target=""_blank"">130650</a>), which affects approximately 1/10,000 live births. In this study, we perform Whole Exome Sequencing (WES), DNA methylation array, messenger RNA-Sequencing (mRNA-Seq), and microRNA-Sequencing (miRNA-Seq) to examine the genomic, methylomic, and transcriptomic signature of BWS HB. We analyzed five tumor-normal paired samples, two BWS tumor only samples, and five non-BWS control samples to identify a predisposition and oncogenic signature of BWS HB development. To further understand the new impact of 11p15 changes, specifically in the liver, we performed single-nucleus RNA sequencing (snRNA-seq) and single-nucleus assay for transposase-accessible chromatin with sequencing (snATAC-seq) to generate paired, cell-type-specific transcriptional and chromatin accessibility profiles of both BWS-liver and nonBWS-liver nontumorous and tumor tissues.</p>","Jennifer M. Kalish, MD, PhD",,K08CA193915,Epigenetics;Exome Sequencing;Single Cell Analysis;Transcriptome Sequencing;Tumor vs. Matched-Normal,,,Hepatoblastoma,96.0,112.0,GRU-PUB-COL-NPU,WXS;WGS;Array_DNA_Methylation;Seq_RNA_Expression_SC;Seq_RNA_Expression;Seq_DNA_Chromatin_SC,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002614,nan,nan,7e012fdb-d333-4459-87cc-b215d6349a7f,dbGaP
phs003275,Prediction of Resistance and Sensitivity to HER2 Targeted Therapy in the    Neoadjuvant Setting,Breast Neoplasms,2025-03-07,,Breast Cancer; Breast Malignant Neoplasm; Breast Malignant Neoplasms; Breast Malignant Tumor; Breast Malignant Tumors; CA - Breast cancer,"<p>Women with breast cancers that overexpress <a href=""https://www.ncbi.nlm.nih.gov/gene/2064"" target=""_blank"">HER2</a> are at greater risk for disease progression and death than women whose tumors do not overexpress <a href=""https://www.ncbi.nlm.nih.gov/gene/2064"" target=""_blank"">HER2</a>. Trastuzumab, a recombinant humanized monoclonal antibody against the extracellular domain of the HER2 protein blocks downstream signaling of HER2 and substantially improves the efficacy of chemotherapy in women with metastatic and early-stage HER2-positive breast cancers. Because resistance to trastuzumab eventually results in progressive disease in the metastatic setting and contributes to recurrence following adjuvant trastuzumab-based therapy, it is important to develop agents other than trastuzumab that target HER2 signaling through different mechanisms of action. Lapatinib is an oral, small molecule, dual tyrosine kinase inhibitor of HER2 and <a href=""https://www.ncbi.nlm.nih.gov/gene/1956"" target=""_blank"">EGFR</a>. Lapatinib has shown a lack of cross-resistance with trastuzumab in preclinical studies and activity in women with HER2-positive, metastatic breast cancer that has progressed during trastuzumab treatment. Trastuzumab blocks the downstream signaling of HER2 by binding to the extracellular domain of the receptor. Lapatinib binds to the intracellular domains of HER2 and EGFR and prevents activation of downstream signaling pathways. Because of this different mechanism of action, lapatinib may be effective in trastuzumab-resistant disease. The study will also provide important safety information on trastuzumab and lapatinib combinations immediately following anthracycline exposure, and also provide an initial direct comparison of cardiac effects of trastuzumab and lapatinib when incorporated into a standard sequential adriamycin and cyclophosphamide (AC) followed by weekly paclitaxel neoadjuvant regimen. </p><p>Availability of a second agent that can interrupt HER2-signaling pathways through completely different mechanisms than those of trastuzumab offers the potential for further improvement in the management of patients with HER2-overexpressing breast cancer in both the adjuvant and metastatic setting. Co-administration of both trastuzumab and lapatinib with chemotherapy may be important in improving outcomes in subsets of HER2-positive breast cancers. However, use of two inhibitors of the HER2 pathway will increase costs and may increase toxicity, so it will be important to identify the subsets of patients who would benefit from the dual therapy. Inhibition of HER2 with a single agent clearly is sufficient for many patients as evidenced by the results of the trastuzumab trials. Therefore, co-administration to unselected populations of women with HER2-positive breast cancers would not represent an optimal approach. Given the activity of lapatinib, it is likely that it will also be sufficiently active in inhibiting HER2-pathway activation in some patients to allow for its use as the sole inhibitor of the HER2 pathway. Different populations may also derive greater benefit from one of the HER2-blocking agents relative to the other. Identification of potential predictive factors for pathologic complete response to the combination or to either agent administered alone in neoadjuvant trials would provide important information for adjuvant trials designed to definitively address these important issues. </p><p>This study will compare 3 combined chemotherapy regimens: AC followed by paclitaxel plus trastuzumab and lapatinib, AC followed by paclitaxel plus lapatinib, and AC followed by paclitaxel plus trastuzumab given before surgery to patients with HER2-positive breast cancer.</p><p>Tumor samples were collected prior to and post-treatment, and RNA sequencing was performed with this version. </p><p> </p>","Lisa Carey, MD",24095300;38546612,R01CA229409,Case Set;Clinical Trial,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234519,ERBB2,,245.0,272.0,HMB-NPU,RNA-Seq,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003275,nan,nan,2a32d598-a245-484b-b7ff-f1d6a6825575,dbGaP
phs003378,"A Phase I Study of the Treatment of Recurrent Malignant Glioma with    CAN-3110 (AKA rQNestin34.5v.2), a Genetically Engineered HSV-1 Virus",Glioblastoma,2025-03-06,,"Astrocytoma, Grade IV; Astrocytomas, Grade IV; GBM; GBM (glioblastoma); Giant cell glioblastoma (histologic variant); Glioblastoma multiforme","<p>This study is a ""first-in-human"" phase 1 trial of recurrent, IDH wild-type glioblastoma (rGBM) patients treated with CAN-3110 (aka rQNestin34.5v.2), a genetically modified oncolytic herpes simplex virus 1 (HSV-1). The study was a 3+3 dose-escalation study starting at a single intra-tumoral injection of 10<sup>6</sup> PFU CAN-3110 going up to 10<sup>10</sup> PFU in half-log increments (cohorts 1-9). An expansion cohort (cohort 10) was treated with 10<sup>9</sup> PFU injected into up to 5 sites within a single tumor. Principal findings of the study conclude that:</p><ul><li>CAN-3110 was safe at all tested doses (no dose-limiting toxicities reached)</li><li>HSV-1 seropositive patients survived significantly longer than HSV-1 seronegative patients in this study - longer than expected based on historical rGBM controls</li><li>HSV-1 seropositive patients were significantly more likely to clear CAN-3110 (HSV-1) antigen from their tumors based on immunohistochemical staining</li><li>CAN-3110 treatment-induced CD8+/CD4+ T-cell recruitment to injected tumor sites altered TCR beta diversity in both tumor infiltrating leukocytes (TILs) and PBMCs, and initiated changes in specific TCR beta clonotypes and immune gene signatures which were associated with post-treatment survival.</li></ul><p>Data provided in dbGaP for this study include:</p><ul><li>Bulk RNA-Seq data for 13 pre/post-treatment pairs of rGBM tumors corresponding to 12 unique patients (patient 28 was treated with CAN-3110 at two different timepoints). This data is provided as raw sequencing reads (.fastq), kallisto pseudoalignment transcript-level read counts (abundance.tsv files), gene-level abundance matrix (Gene_Level_Expression_Matrix.tsv), and immune gene signature scores matrix (Immune_Gene_Signatures_Matrix.tsv). Sequencing was performed as paired 150bp sequencing on NovaSeq6000 S4 Illumina flow cells. Library preparation varied by batch as described in the included RNAseq_Metadata.xlsx table.</li><li>TCR beta DNA sequencing performed by Adaptive Biotechnologies for 21 pre/post-treatment pairs of rGBM tumors and PBMCs representing 20 unique patients (patient 28 was treated with CAN-3110 at two different timepoints). Note that all tumor pairs with TCR beta sequencing data also have available bulk RNA-Seq data. The TCR beta sequencing data is provided as an excel spreadsheet (TCRbeta_Sample_Overview.xslx), which provides a broad level summary of the sequencing on a per-sample basis (# of TCRbeta templates, T cell fraction, TCR beta diversity metrics, etc.) and as a large tab separated value file (Full_TCRbeta_Rearrangement_Details.tsv), which provides information per sample at the level of each unique TCR beta sequence (amino/nucleic acid sequence, VDJ gene usage, etc.).</li><li>An excel table of de-identified metadata for the patients involved in this study.</li></ul>",E. Antonio Chiocca,37853118;38234840,,Clinical Cohort;Clinical Trial;Longitudinal;Longitudinal Cohort;RNA Sequencing;Transcriptome Sequencing;Tumor,,,"Astrocytoma, Grade IV;Grade IV Astrocytoma;Glioblastoma Multiforme",22.0,129.0,HMB,Seq_ImmunoTarget_SC;RNA-Seq;WGS;Seq_RNA_Expression,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003378,nan,nan,ffcc50b1-2c31-4a03-8a6a-c871f9037a5d,dbGaP
phs003786,Mind Body Study: A Sub-Study on Psychosocial Factors and Microbiomes of    Nurses in the Nurse's Health Study II,Gastrointestinal Microbiome,2025-03-05,,Not Provided,"<p>The Mind-Body Study is a sub-study of the <a href=""https://nurseshealthstudy.org/"" target=""_blank"">Nurses' Health Study II</a> (NHSII) which investigated associations between biomarkers and psychosocial factors. The prevalences of clinically meaningful depressive symptoms, mild-to-severe anxiety symptoms, experiencing major-life discrimination, and food addiction were 19%, 21%, 30%, and 5% respectively. These participants were more likely to have experienced childhood abuse and take psychotropic medications but less likely to have chronic conditions such as diabetes and hypertension than participants in the larger NHSII cohort. Participants (n = 213, mean age = 60.6) provided one or two separate stool samples for microbiome profiling between 2013 and 2014, and completed two online psychosocial assessments 10 months apart. The participants also completed two 30-day FFQs around the two microbiome collections. There was excellent reproducibility of psychosocial factors over 1 year. Moderate-to-strong positive correlations were observed between markers of distress and between positive psychosocial factors such as mindfulness and optimism. Here, the subjects' metadata including phenotypic and diet covariates have been provided. Microbial DNA sequence data from the stool microbiome collections is provided <i>via</i> Sequence Read Archive (SRA).</p>",A. Heather Eliassen,31049751,,Cohort;Collection;Cross-Sectional,https://nurseshealthstudy.org/,,,213.0,818.0,HMB,WGS,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003786,nan,nan,039c32e4-cc62-421a-971d-bf6d837d030a,dbGaP
phs003887,Cancer-Restricted Cryptic Antigens Are Targets for T Cell Recognition,"Carcinoma, Pancreatic Ductal",2025-03-04,,"Carcinoma, Ductal, Pancreatic; Carcinoma, Pancreas Duct-Cell; Carcinomas, Pancreas Duct-Cell; Carcinomas, Pancreatic Ductal; Duct Cell Carcinoma of the Pancreas; Duct Cell Carcinoma, Pancreas","<p>Subjects included patients with pancreatic cancer, at least 18 years of age, who were recruited from outpatient clinics and inpatient units at Dana-Farber Cancer Institute and Brigham and Women's Hospital.</p><p>Bulk and single-cell transcriptomic profiling of human pancreatic cancer patient samples (direct from tumor or profiling of patient-derived organoids) was performed. Patient-derived pancreatic cancer organoids were profiled in the presence or absence of interferon-gamma stimulation. </p><p>Healthy-donor CD8 T lymphocytes were <i>ex vivo</i> primed and expanded with candidate non-canonical (cryptic) peptide antigens. Single-cell transcriptomic profiling with paired T cell receptor (TCR) sequencing and molecularly-barcoded HLA tetramers enabled deconvolution and identification of cryptic antigen-reactive TCRs. </p>",,,,Case Set;Single Cell Analysis;Transcriptome Analysis,,,,17.0,38.0,HMB,OTHER;RNA-Seq,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003887,nan,nan,89d3dc6a-fd90-4084-9ea1-c616c709daa6,dbGaP
phs003886,Developing Targeted Therapy for Patients with Multiple Myeloma and Gain    or Amplification of Chr1q (1q+),Multiple Myeloma,2025-03-04,,Monoclonal Gammopathy of Undetermined Significance; Smoldering Multiple Myeloma; Asymptomatic monoclonal gammopathy; Benign Monoclonal Gammapathies; Benign Monoclonal Gammapathy; Benign Monoclonal Gammopathies,"Multiple myeloma (MM) frequently presents with gain or amplification of chr1q (1q+), which is associated with inferior response to treatment and poor outcomes. To develop targeted therapy for MM with 1q+, we leveraged external and in-house dependency screens and drug screens, along with single-cell sequencing of patient tumors with subclonal 1q+. We demonstrated that MM with 1q+ exhibits higher sensitivity to <a href=""https://www.ncbi.nlm.nih.gov/gene/4170"" target=""_blank"">MCL1</a> and PI3K inhibitors, which may be synergistic and act through established and novel mechanisms. Two human MM cell lines with 1q+, KMS12BM and KMS11, were profiled with either single-cell RNA-sequencing (scRNA-seq) alone (KMS12BM, KMS11) or both scRNA-seq and whole-genome sequencing (WGS; KMS12BM) to understand the factors that determine response to <a href=""https://www.ncbi.nlm.nih.gov/gene/4170"" target=""_blank"">MCL1</a> and PI3K inhibitors and how these inhibitors work.","Irene Ghobrial, MD",40073369,R35CA263817,Case Set;Single Cell Analysis;Tumor,https://www.enroll.pcrowd.org/,MCL1,Monoclonal Gammopathy of Undetermined Significance;Smoldering Multiple Myeloma,7.0,21.0,HMB,RNA-Seq;WGS,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003886,nan,nan,ff1cf48e-5a76-408a-839f-512c8f639f1a,dbGaP
phs003789,Understanding Determinants of Racial Disparities in Lung Cancer Incidence,Lung Neoplasms,2025-03-04,,Lung Tumor; Lung cancer; Lung neoplasm; Lung tumour; Neoplasm of Lung; Neoplasm of the Lung,"<p>This is a nested case-control study designed to evaluate the association between common genetic variants and the risk of lung cancer. The study included 1258 cases and 1252 controls selected from the Southern Community Cohort Study (SCCS), a large, prospective observational cohort. Cases were identified from cancer registries across the catchment area of the SCCS. Cases and controls were frequency matched on age, sex, race, and enrollment site (community health center vs general population).</p><p> </p>",Melinda Aldrich,,,Case-Control,,,,2510.0,2510.0,DS-LC-PUB-NPU-MDS,Array_SNP_CNV,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003789,nan,nan,bd92fdbc-d138-47c4-8226-912bca0c1c65,dbGaP
phs003787,Single-Cell RNA-Sequencing of Tumor and Immune Cells from Patients with    Asymptomatic Waldenstrom's Macroglobulinemia,Waldenstrom Macroglobulinemia,2025-03-04,,"Lymphoma, Lymphocytic, Plasmacytoid; Lymphoma, Lymphoplasmacytoid; Lymphomas, Lymphoplasmacytoid; Lymphoplasmacytoid Lymphoma; Lymphoplasmacytoid Lymphomas; Macroglobulinaemia, Waldenstrom's","<p>We performed single-cell RNA-seq on tumor and immune cells from 30 patients with IgM Monoclonal Gammopathy of Undetermined Significance (IgM MGUS), Smoldering Waldenstrom's Macroglobulinemia (SWM), and overt Waldenstrom's Macroglobulinemia (WM) to identify tumor-intrinsic and immune biomarkers of disease progression in patients with asymptomatic WM. We identified subtypes within MYD88-mutant WM that are associated with clinical presentation and/or patient outcomes. We also characterized immune dysregulation in patients with asymptomatic WM, and demonstrated disordered interferon stimulation in T and NK cells of patients. </p>","Irene Ghobrial, MD",39929803,R35CA263817-01A1;SU2C-AACR-CT05-17;Robert A. Kyle Award,Case-Control,,,,36.0,99.0,HMB,RNA-Seq,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003787,nan,nan,8d0d80dc-a71c-4dc4-9260-3448324b0c14,dbGaP
phs003723,Contextual and Health Behavior Effects on Epigenetic Aging Among Africans    in the Family and Community Health Studies,Substance-Related Disorders,2025-03-04,,"Depression; Organic Mental Disorders, Substance Induced; Organic Mental Disorders, Substance-Induced","<p> The Family and Community Health Studies (FACHS) is a longitudinal examination of health and health related behaviors in African American families. The original study cohort consisted of 867 African American parent-child dyads from Georgia and Iowa who were ascertained in cooperation with local school districts. The key inclusion criteria for participating in the study were the presence of an adolescent in the 5th grade (approximately 10-11 years old) who self-identified as African American (i.e., the Target) and the participation of a primary caretaker (PC) for the Target. </p><p> The clinical and biological data included in this collection are from the Target (i.e., FACHS-T) portion of these studies of these African American parent-child dyads. The initial wave of behavioral assessments of the FACHS-T subjects was conducted in 1997-98 (Wave 1), with seven subsequent ascertainments, Wave 2 (1999&#8211;2000), Wave 3 (2002&#8211;2003), Wave 4 (2005&#8211;2006), Wave 5 (2007&#8211;2009), Wave 6 (2010&#8211;2011), Wave 7 (2014&#8211;2016) and Wave 8 (2019-2021). Full interviews were obtained at each wave of the study with the exact content of the wave varying as a function of developmental age. These interviews of the FACHS-T subjects collected a wide variety of data including the following: perceived discrimination; socioeconomic status; substance use exposure; common internalizing and externalizing disorders such as depression, substance use, and conduct disorder; school efficacy; peer support and perceived parenting practices. </p><p>Biological sampling of the FACHS-T subjects was conducted at three time points. Saliva DNA was collected at Wave 5 while full phlebotomy was conducted at Waves 7 and 8. The genome wide methylation data listed below is derived from the whole blood DNA samples collected at Wave 8 and Wave 9. The genome wide genotyping data was determined using DNA from the Wave 7 samples. </p><p>The clinical and biological data available herein are those from 309 FACHS-T subjects who participated in both Wave 7 and Wave 8, and who consented for deposition of their data in dbGAP. </p>",,11480944;15053703;15863428;34924087;34533092,,Cohort,https://cfr.uga.edu/,,Racism;Perceived Discrimination;Resilience;Body Image;Depression,309.0,309.0,GRU,Array_SNP;Array_DNA_Methylation,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003723,nan,nan,c53d374e-f839-47da-8edb-12c739239588,dbGaP
